URL,Error
http://helixmixalgxogje.onion,"SOCKSHTTPConnectionPool(host='helixmixalgxogje.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb15c0d1100>: Failed to establish a new connection: 0x06: TTL expired'))"
http://financo6ytrzaoqg.onion,"SOCKSHTTPConnectionPool(host='financo6ytrzaoqg.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb15660d100>: Failed to establish a new connection: 0x06: TTL expired'))"
http://dreamrvfuqrpzn4q.onion,"SOCKSHTTPConnectionPool(host='dreamrvfuqrpzn4q.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb156661d00>: Failed to establish a new connection: 0x06: TTL expired'))"
http://shadowrnzghb5zhb.onion,"SOCKSHTTPConnectionPool(host='shadowrnzghb5zhb.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb15c069760>: Failed to establish a new connection: 0x06: TTL expired'))"
http://bitcardsqucnyfv2.onion,"SOCKSHTTPConnectionPool(host='bitcardsqucnyfv2.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb1564ab3d0>: Failed to establish a new connection: 0x06: TTL expired'))"
http://bankors4d5cdq2tq.onion,"SOCKSHTTPConnectionPool(host='bankors4d5cdq2tq.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb1564ab610>: Failed to establish a new connection: 0x06: TTL expired'))"
http://mrisu6dzj2sy7uvl.onion,"SOCKSHTTPConnectionPool(host='mrisu6dzj2sy7uvl.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb15d95d1f0>: Failed to establish a new connection: 0x06: TTL expired'))"
http://efb6om7tze6aab25.onion,"SOCKSHTTPConnectionPool(host='efb6om7tze6aab25.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb15c212070>: Failed to establish a new connection: 0x06: TTL expired'))"
http://cardsunwqrzhg5cw.onion,"SOCKSHTTPConnectionPool(host='cardsunwqrzhg5cw.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb156675f10>: Failed to establish a new connection: 0x06: TTL expired'))"
http://j5ehssrshpxpdkto.onion,"SOCKSHTTPConnectionPool(host='j5ehssrshpxpdkto.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb1564ab520>: Failed to establish a new connection: 0x06: TTL expired'))"
http://2aed243etgnjkytw.onion,"SOCKSHTTPConnectionPool(host='2aed243etgnjkytw.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb1564bb310>: Failed to establish a new connection: 0x06: TTL expired'))"
http://wc4vfyu7hsjw2kxa.onion,"SOCKSHTTPConnectionPool(host='wc4vfyu7hsjw2kxa.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb1565b2460>: Failed to establish a new connection: 0x06: TTL expired'))"
http://blackph5fuiz72bf.onion,"SOCKSHTTPConnectionPool(host='blackph5fuiz72bf.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb156446c70>: Failed to establish a new connection: 0x06: TTL expired'))"
http://caworldwyrxypvqm.onion,"SOCKSHTTPConnectionPool(host='caworldwyrxypvqm.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb1565b2af0>: Failed to establish a new connection: 0x06: TTL expired'))"
http://zdps5qat2b4dusmp.onion,"SOCKSHTTPConnectionPool(host='zdps5qat2b4dusmp.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb15658f070>: Failed to establish a new connection: 0x06: TTL expired'))"
http://777o6suetmexlesv.onion,"SOCKSHTTPConnectionPool(host='777o6suetmexlesv.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb154f44a90>: Failed to establish a new connection: 0x06: TTL expired'))"
http://djn4mhmbbqwjiq2v.onion,"SOCKSHTTPConnectionPool(host='djn4mhmbbqwjiq2v.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb15c2773d0>: Failed to establish a new connection: 0x06: TTL expired'))"
http://sla2tcypjz774dno.onion,"SOCKSHTTPConnectionPool(host='sla2tcypjz774dno.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb1577066d0>: Failed to establish a new connection: 0x06: TTL expired'))"
http://vu2wohoog2bytxgr.onion,"SOCKSHTTPConnectionPool(host='vu2wohoog2bytxgr.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb1565b2880>: Failed to establish a new connection: 0x06: TTL expired'))"
http://zzq7gpluliw6iq7l.onion,"SOCKSHTTPConnectionPool(host='zzq7gpluliw6iq7l.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb15658fe80>: Failed to establish a new connection: 0x06: TTL expired'))"
http://fakeidskhfik46ux.onion,"SOCKSHTTPConnectionPool(host='fakeidskhfik46ux.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb156691fa0>: Failed to establish a new connection: 0x06: TTL expired'))"
http://tytbeta57rw2onit.onion,"SOCKSHTTPConnectionPool(host='tytbeta57rw2onit.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb1564f4dc0>: Failed to establish a new connection: 0x06: TTL expired'))"
